country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,,,,,18.9,,,,12.2,,,,,,
Argentina,,,21.5,,,,10.9,7.15,9.28,,,,,,
Armenia,,,,,16.1,16.8,17.6,18.4,12.8,11.8,,,,,
Bangladesh,,,,,,,4.62,,,,,,,,
Belarus,,,,,2.17,1.67,1.45,,0.841,,,1.57,1.67,,
Bosnia and Herzegovina,,,,4.86,,,,,,,,,,,
Botswana,,,,,,,,,,,,24.5,,,
Brazil,,,,,,,,,,,,,31.1,28.9,31.1
Bulgaria,,,,8.61,,,,,,,,,,,
Cape Verde,,,,1.59,,,,,,,,,,,
Chile,,,3.54,,,2.55,,0.494,,2.11,,,,27.9,
Comoros,9.21,,,,,,,,,,,,,,
Croatia,,,,,9.02,,10.7,12.5,,,10.8,,,,
Georgia,,,,,,,,13.4,,,,,,,
Honduras,,,,,,,4.39,4.77,,,,,,,
Hungary,,,,12.2,,,,,,,,,,,
Iraq,,,5.5,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,5.04,,,,
Latvia,,,,,8.33,10.4,,,,,,,,,
Lithuania,,,,,26.1,,,,,,,,,,
Mauritius,,,16.8,,,,,,17,,,,,,
Montenegro,,,,,,,,13.9,10.4,15.9,13.2,,,,
Poland,,26.3,23.9,22,22.5,22.1,22.2,22,22.7,,,25,,,
Romania,,,,,31.3,,,30.5,28.8,,,,,,
Russia,,,,,,,,,,,3.33,3.32,2.84,2.79,
Rwanda,,14.6,,,,,3.36,,,,,,,,
Senegal,,,,,,,,0.93,,,,,,,
Serbia,,,,,,,,,,,,24.9,,,
Slovak Republic,,,,,,9.85,,,,,,,,,
South Africa,,20.3,,,,,,,,,,,,,
Turkey,,,,,,7.96,8.62,11.8,9.66,7.68,6.33,6.73,7.5,,
Ukraine,,,6.28,,,,,9.53,9.51,11,,,8.54,,
Uruguay,,,,,23.6,24.9,25.9,23.2,21.7,,,26.4,26.7,26.1,
