country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,,,,,,3.66,,,3.94,
Argentina,,,,,8.79,,,,,8.1
Armenia,,,,,3.31,,,,,3.53
Austria,,,,28.3,,,,,30.4,
Bangladesh,,1.88,,,,,,2.03,,
Belarus,,,,,12,,,,,12.5
Belgium,,,,27.3,,,,,27.9,
Benin,,,1.06,,,,0.87,,,
Bhutan,,,,3.54,,,,,3.83,
Bolivia,,,,,4.38,,,,,4.78
Botswana,2.04,,,,,,2.09,,,
Brazil,,,,,5.56,,,,,5.44
Chile,,,,,8.02,,,,9.72,
China,,,,,3.92,,,4.99,,
Colombia,,,,,3.87,,,,,4.35
Costa Rica,,,,,7.01,,,,,7.51
Croatia,,,,8.45,,,,,11,
Cyprus,,,,23.9,,,,,24.3,
Czech Republic,,,,15.8,,,,,18.8,
Denmark,,,,28.4,,,,,30.3,
Dominican Republic,,,4.19,,,,,5.39,,
Ecuador,,,,,4.49,,,,,4.77
Egypt,,,,3.26,,,,,2.85,
El Salvador,,,,,3.89,,,,,4.72
Estonia,,,,11.6,,,,,17,
Eswatini,1.11,,,,,,,1.52,,
Ethiopia,,1.49,,,,,1.51,,,
Finland,,,,28.9,,,,,29.7,
France,,,,26.7,,,,,27.6,
Georgia,,,,,3.02,,,,,3.44
Germany,,,28.2,,,,,27.9,,
Ghana,,,,2.36,,,,2.34,,
Greece,,,,9.63,,,,,10.5,
Honduras,,,,,2.12,,,,,2.26
Hungary,,,,9.77,,,,,12.4,
Iceland,,27.1,,,,,31.6,,,
Indonesia,,,,,,2.39,,,,2.91
Iran,,,,,,7.02,,,6.99,
Ireland,,,21.4,,,,,25.3,,
Israel,,11.2,,,,,,14.3,,
Italy,,,,18.3,,,,,18.8,
Kazakhstan,,,,6.54,,,,,6.54,
Kyrgyz Republic,,,,,2.85,,,,,3.33
Latvia,,,,8.22,,,,,12,
Lithuania,,,,9.27,,,,,12.6,
Luxembourg,,,,33.4,,,,,38.7,
Malawi,,0.68,,,,,,0.82,,
Malaysia,,,,7.89,,,,11.1,,
Malta,,,,20.7,,,,,25,
Mauritius,,,,5.68,,,,,6.5,
Moldova,,,,,5.41,,,,,5.94
Mongolia,,,4.33,,,,,,,4.64
Montenegro,,,,4.75,,,5.45,,,
Namibia,1.75,,,,,,2.41,,,
Netherlands,,,,28.1,,,,,30.3,
North Macedonia,,,,3.85,,,,,5.42,
Norway,,,,39,,,,,39.9,
Pakistan,,2.28,,,,,2.6,,,
Palestine,,,5.3,,,,,5.03,,
Panama,,,,,5.92,,,,,7.66
Paraguay,,,,,5.43,,,,,5.87
Peru,,,,,4.5,,,,,5.08
Philippines,,,,2.4,,,2.79,,,
Poland,,,,11,,,,,14.7,
Portugal,,,,11.7,,,,,13.7,
Romania,,,,3.83,,,,,6.18,
Russia,,,,,10.3,,,,,10.1
Rwanda,,,,,1.01,,,1.02,,
Serbia,,,,,4.14,,,,4.82,
Sierra Leone,,,1.16,,,,,,,1.39
Slovak Republic,,,13.8,,,,,13.4,,
Slovenia,,,,19.8,,,,,22.1,
Spain,,,,16,,,,,17.5,
Sri Lanka,,,,3.37,,,,3.9,,
Sweden,,,,28,,,,,29.9,
Switzerland,,,,34.4,,,,,33.9,
Tanzania,,,1.2,,,,,,,1.18
Thailand,,,,,,6.68,,,,7.08
Togo,,,0.89,,,,0.98,,,
Tunisia,,4.33,,,,,5.63,,,
Turkey,,,,,6.94,,,,,7.72
Uganda,,,,1.39,,,,1.27,,
Ukraine,,,,,8.12,,,,,7.88
United Kingdom,,,21.7,,,,,23.7,,
United States,,24.5,,,,,,26.5,,
Uruguay,,,,,10.1,,,,,11.2
Vietnam,,,,3.66,,,,,,4.87
Zambia,,0.68,,,,,0.66,,,
Zimbabwe,,,1.86,,,,,,1.48,
